,year,name,fields_of_study,placement,ranking,university,department
0,2024,Jenna Anders,,University of Virginia Batten,1,Harvard University,Economics
1,2024,Martin Aragoneses,,INSTEAD,1,Harvard University,Economics
2,2024,Michael Blank,,"Stanford University, Graduate School of Business",1,Harvard University,Economics
3,2024,Phoebe Cai,,Link Logistics Real Estate,1,Harvard University,Economics
4,2024,Romaine Campbell,,Cornell Brooks Policy School,1,Harvard University,Economics
5,2024,Jiafeng Chen,,Stanford University,1,Harvard University,Economics
6,2024,Antonio Coran,,Bank of Italy,1,Harvard University,Economics
7,2024,Veronica DeFalco,,Imperial College of London,1,Harvard University,Economics
8,2024,Pedro Degiovanni,,Charles River Associates,1,Harvard University,Economics
9,2024,Michael Droste,,University of Southern California,1,Harvard University,Economics
10,2024,Adriano Fernandes,,IMF,1,Harvard University,Economics
11,2024,Robert Fluegge,,Hoover Institution,1,Harvard University,Economics
12,2024,Shresth Garg,,University of Pennsylvania,1,Harvard University,Economics
13,2024,Benjamin Goldman,,Cornell Brooks Policy School,1,Harvard University,Economics
14,2024,Peter Hickman,,Open Philanthropy,1,Harvard University,Economics
15,2024,Kathryn Holston,,"Bank of England, Monetary Policy Outlook Division",1,Harvard University,Economics
16,2024,Yihong Huang,,Peking University,1,Harvard University,Economics
17,2024,Ronak Jain,,University of Zurich,1,Harvard University,Economics
18,2024,Sean Lee,,Squarepoint Capital,1,Harvard University,Economics
19,2024,Ziqi Lu,,Jinan University,1,Harvard University,Economics
20,2024,Angela Ma,,"Boston College, Carroll School of Management",1,Harvard University,Economics
21,2024,Danila Maroz,,Amazon,1,Harvard University,Economics
22,2024,Francesca Miserocchi,,Tilburg University,1,Harvard University,Economics
23,2024,Dev Patel,,Brown University,1,Harvard University,Economics
24,2024,Louise Paul-Delvaux,,World Bank,1,Harvard University,Economics
25,2024,Kunal Sangani,,Northwestern University,1,Harvard University,Economics
26,2024,Brit Sharoni,,University of Michigan Ross,1,Harvard University,Economics
27,2024,Clara Sievert,,CERGE-EI,1,Harvard University,Economics
28,2024,Benjamin Sprung-Keyser,,University of Pennsylvania Wharton BEPP,1,Harvard University,Economics
29,2024,Yulu Tang,,London School of Economics and Political Science,1,Harvard University,Economics
30,2024,Alice Wu,,University of Wisconsin,1,Harvard University,Economics
31,2024,Hanbin Yang,,London Business School,1,Harvard University,Economics
32,2024,Chika Okafor,,Northwestern Law School,1,Harvard University,Economics
33,2023,Angie Acquatella,"Public Finance, Contract Theory",University of Toulouse,1,Harvard University,Economics
34,2023,Arielle Bernhardt,"Development Economics, Political Economy",New York University,1,Harvard University,Economics
35,2023,John Conlon,"Behavioral Economics, Experimental Economics, Labor Economics",Carnegie Mellon,1,Harvard University,Economics
36,2023,Elizabeth Engle,"Labor Economics, Public Economics",Macalester College,1,Harvard University,Economics
37,2023,Matthew Ferranti,"International Finance, Macroeconomics, Applied Econometrics",U.S. Intelligence Community,1,Harvard University,Economics
38,2023,Ariel Gomez,"Development Economics, Political Economy, Economic History",Northeastern University Postdoc,1,Harvard University,Economics
39,2023,Spencer Yongwook Kwon,"Finance, Behavioral Economics, Macroeconomics",Brown University,1,Harvard University,Economics
40,2023,Francois-Xavier Ladant,"Public Economics, Labor Economics",Northwestern University Kellogg - Postdoc,1,Harvard University,Economics
41,2023,Shushu Liang,"Finance, Macroeconomics",Two Sigma,1,Harvard University,Economics
42,2023,Chang Liu,"Microeconomic Theory, Industrial Organization","The University of New South Wales, Sydney",1,Harvard University,Economics
43,2023,Armando Miano,"Public Economics, Macroeconomics, Labor Economics, Political Economy",University of Naples Federico II,1,Harvard University,Economics
44,2023,Robert Minton,"Macroeconomics, Labor Economics",Federal Reserve Board,1,Harvard University,Economics
45,2023,Erica Moszkowski,"Industrial Organization, Urban Economics",Federal Reserve Board,1,Harvard University,Economics
46,2023,Ayushi Narayan,"Labor Economics, Public Economics",Federal Reserve Bank of Minneapolis,1,Harvard University,Economics
47,2023,Daniel Ramos-Menchelli,"Trade, Urban Economics, Development Economics","Johns Hopkins University, School of Advanced International Studies",1,Harvard University,Economics
48,2023,Rodolfo Rigato,"Macroeconomics, Financial Economics",European Central Bank,1,Harvard University,Economics
49,2023,Giorgio Saponaro,"Behavioral Economics, Finance, Theory, Experimental Economics",Graham Capital Management,1,Harvard University,Economics
50,2023,Sagar Saxena,"Industrial Organization, Development Economics","University of Pennsylvania, The Wharton School",1,Harvard University,Economics
51,2023,Awa Ambra Seck,"Development Economics, Political Economy, Economic History, Behavioral Economics",Harvard Business School,1,Harvard University,Economics
52,2023,Yin Wei Soon,"Industrial Organization, Health Economics, Labor Economics, Public Finance",NERA,1,Harvard University,Economics
53,2023,Johnny Tang,"Finance, Behavioral Economics","Cornell University, SC Johnson College of Business",1,Harvard University,Economics
54,2023,Audrey Tiew,"Industrial Organization, Microeconomic Theory",New York University,1,Harvard University,Economics
55,2023,Myles Wagner,"Public Economics, Economics of Healthcare, Industrial Organization",Ohio State University,1,Harvard University,Economics
56,2023,Anthony Yu,"Health Economics, Industrial Organization, Public Economics",RAND,1,Harvard University,Economics
57,2023,Ran Zhuo,"Economics of Innovation, Industrial Organization","University of Michigan, Ross School of Business",1,Harvard University,Economics
58,2023,John Macke,Behavioral Economics,Give Well,1,Harvard University,Economics
59,2023,Benjamin Niswonger,"Macroeconomics, Theory",Amazon Pharmacy,1,Harvard University,Economics
60,2023,Hannah Shaffer,Law and Economics,Harvard Law School,1,Harvard University,Economics
61,2023,Zoe Hitziq,"Microeconomic Theory, Market Design",Harvard Society of Fellows,1,Harvard University,Economics
62,2022,Alex Albright,"Labor Economics, Law & Economics, Economic History",Federal Reserve Bank of Minneapolis,1,Harvard University,Economics
63,2022,Sarah Armitage,"Environmental Economics, Industrial Organization, Public Finance",Boston University,1,Harvard University,Economics
64,2022,Francesca Bastianello,"Finance, Behavioral Economics, Behavioral Macroeconomics",University of Chicago-Booth,1,Harvard University,Economics
65,2022,Justin Bloesch,"Macroeconomics, Labor Economics",Cornell University (Columbia post-doc 2022-23),1,Harvard University,Economics
66,2022,Antonio Coppola,"Finance, International Macroeconomics","Stanford University, GSB",1,Harvard University,Economics
67,2022,Lydia Cox,"International Trade, Macroeconomics",University of Wisconsin (Cowles post-doc 2022-23),1,Harvard University,Economics
68,2022,Enrico Di Gregorio,"Public Finance, Political Economy",International Monetary Fund,1,Harvard University,Economics
69,2022,Evgenii Fadeev,"Innovation, Organizational Economics, International Trade",Harvard Business School Post-doc,1,Harvard University,Economics
70,2022,Jiacheng Feng,"International Trade, Contracting and Organization, Macroeconomics, Economics of Discrimination",Jane Street,1,Harvard University,Economics
71,2022,Paul Fontanier,"Macroeconomics, Finance",Yale School of Management,1,Harvard University,Economics
72,2022,Riako Granzier,"Behavioral Economics, Labor Economics",Uber,1,Harvard University,Economics
73,2022,Ravi Jagadeesan,"Microeconomic Theory, Market Design, Public Economics, Macroeconomics","Stanford University, Department of Economics",1,Harvard University,Economics
74,2022,Felipe Jordan,"Environmental Economics, Political Economy, Development",Universidad Católica de Chile,1,Harvard University,Economics
75,2022,Gabriel Koningberg,"Corporate Finance, International Finance",Amazon,1,Harvard University,Economics
76,2022,Matthew Lilley,"Labor Economics, Urban Economics, Behavioral Economics",Australian National University,1,Harvard University,Economics
77,2022,Lucas De Lima,"Econometrics, Industrial Organization",PUC Rio (Toronto Postdoc),1,Harvard University,Economics
78,2022,Tianwang Liu,"Industrial Organization, Labor Economics",Uber,1,Harvard University,Economics
79,2022,Frank Pinter,"Industrial Organization, Environmental Economics",Federal Trade Commission,1,Harvard University,Economics
80,2022,Ashesh Rambachan,"Econometrics, Public Economics","MIT, Department of Economics",1,Harvard University,Economics
81,2022,Hillary Stein,"International Finance, Macroeconomics, International Political Economy",Boston Federal Reserve,1,Harvard University,Economics
82,2022,Brandon Tan,"Development, Public Economics, Urban Economics",International Monetary Fund,1,Harvard University,Economics
83,2022,Jonathan Tebes,"Labor Economics, Public Economics, Applied Econometrics",University of Notre Dame,1,Harvard University,Economics
84,2022,Mattie Toma,"Behavioral Economics, Experimental Economics",Warwick Business School,1,Harvard University,Economics
