,year,name,program,placement,title,ranking,university,department
0,2024,Stephanie Dong,Accounting,Visiting Assistant Professor at University of Rochester,Visiting Assistant Professor,10,New York University,Stern School of Business
1,2024,Shuqing Huang,Accounting,"Assistant Professor at California State University, Fullerton",Assistant Professor,10,New York University,Stern School of Business
2,2024,Melanie Friedrichs,Economics,"Research Economist at Office of Financial Research, U.S. Treasury",Research Economist,10,New York University,Stern School of Business
3,2024,Raja Panjwani,Economics,Visiting Researcher at London School of Economics,Visiting Researcher,10,New York University,Stern School of Business
4,2024,Agata Farina,Economics,Post-Doctoral Researcher at Princeton University,Post-Doctoral Researcher,10,New York University,Stern School of Business
5,2024,Yinan Wang,Economics,Economist at Amazon,Economist,10,New York University,Stern School of Business
6,2024,Ammon Lam,Finance,Associate at Cornerstone Research,Associate,10,New York University,Stern School of Business
7,2024,Quinn Maingi,Finance,Assistant Professor at University of Southern California,Assistant Professor,10,New York University,Stern School of Business
8,2024,Julia Selgrad,Finance,"Assistant Professor at University of Chicago, Booth",Assistant Professor,10,New York University,Stern School of Business
9,2024,Margarita Boyarskaya,Information Systems,Senior Research Associate at JPMorgan AI Research,Senior Research Associate,10,New York University,Stern School of Business
10,2024,Olivia Foster-Gimbel,Management,Assistant Professor at Rutgers Business School,Assistant Professor,10,New York University,Stern School of Business
11,2024,Eunkyung An,Marketing,Assistant Professor at Stevens Institute of Technology,Assistant Professor,10,New York University,Stern School of Business
12,2024,Weiqing Zhang,Marketing,Assistant Professor at Rice University,Assistant Professor,10,New York University,Stern School of Business
13,2024,Yang Randy Gao,Marketing,Post-Doctoral Researcher at Yale University,Post-Doctoral Researcher,10,New York University,Stern School of Business
14,2023,Yongoh Roh,Accounting,Assistant Professor at McGill University,Assistant Professor,10,New York University,Stern School of Business
15,2023,Tony Cho,Accounting,Assistant Professor at Hong Kong University of Science & Technology,Assistant Professor,10,New York University,Stern School of Business
16,2023,Han Yan,Accounting,Assistant Professor at The University of British Columbia,Assistant Professor,10,New York University,Stern School of Business
17,2023,Hangyuan Shi,Accounting,Lecturer at University of Glasgow,Lecturer,10,New York University,Stern School of Business
18,2023,Jake Kantor,Economics,Financial Economist at Securities and Exchange Commission,Financial Economist,10,New York University,Stern School of Business
19,2023,Anna Airoldi,Economics,Economist at Revelio Labs,Economist,10,New York University,Stern School of Business
20,2023,Daniel Stackman,Economics,Economist at Federal Trade Commission Bureau of Economics,Economist,10,New York University,Stern School of Business
21,2023,Iris Yao,Finance,Associate at Cornerstone Research,Associate,10,New York University,Stern School of Business
22,2023,Franz Hinzen,Finance,"Assistant Professor at Tuck School of Business, Dartmouth College",Assistant Professor,10,New York University,Stern School of Business
23,2023,Samantha Zeller,Finance,"Economist at Department of Justice, Antitrust",Economist,10,New York University,Stern School of Business
24,2023,Quirin Fleckenstein,Finance,Assistant Professor at HEC Paris,Assistant Professor,10,New York University,Stern School of Business
25,2023,Pietro Reggiani,Finance,Associate at Cornerstone Research,Associate,10,New York University,Stern School of Business
26,2023,Nicholas Garcia,Information Systems,Lecturer at National University of Singapore,Lecturer,10,New York University,Stern School of Business
27,2023,Prasanna Parasurama,Information Systems,Assistant Professor at Emory University,Assistant Professor,10,New York University,Stern School of Business
28,2023,Pan Li,Information Systems,"Assistant Professor at Scheller College of Business, Georgia Tech",Assistant Professor,10,New York University,Stern School of Business
29,2023,Raphael Martins,Management,Assistant Professor at University of Sussex,Assistant Professor,10,New York University,Stern School of Business
30,2023,Stephen Michael Impink,Management,Assistant Professor at HEC Paris,Assistant Professor,10,New York University,Stern School of Business
31,2023,Katia Meggiorin,Management,Assistant Professor at Stevens Institute of Technology,Assistant Professor,10,New York University,Stern School of Business
32,2023,Manav Raj,Management,Assistant Professor at University of Pennsylvania (Wharton),Assistant Professor,10,New York University,Stern School of Business
33,2023,Jong Yeob Kim,Marketing,Assistant Professor at Nanyang Technological University,Assistant Professor,10,New York University,Stern School of Business
34,2023,Nofar Duani,Marketing,Assistant Professor at University of Southern California,Assistant Professor,10,New York University,Stern School of Business
35,2023,He Li,Statistics,Quantitative Researcher at The Citadel,Quantitative Researcher,10,New York University,Stern School of Business
36,2023,Weichi Yao,Statistics,Post-Doctoral at Columbia University,Post-Doctoral,10,New York University,Stern School of Business
37,2022,Danye Wang,Accounting,Assistant Professor at University of Iowa,Assistant Professor,10,New York University,Stern School of Business
38,2022,Yanting Crystal Shi,Accounting,Assistant Professor at HEC Paris,Assistant Professor,10,New York University,Stern School of Business
39,2022,Richard Davies,Economics,Senior Instructional Professsor at University of Chicago,Senior Instructional Professsor,10,New York University,Stern School of Business
40,2022,Abhinav Gupta,Finance,"Assistant Professor at UNC, Kenan Flagler Business School",Assistant Professor,10,New York University,Stern School of Business
