name,year,placement
Anthony Millner,2012,"Research Fellow, Grantham Research Institute, London School of Economics"
Daniel Agness,2024,"Assistant Professor, Economics, University of Maryland"
David Anthoff,2012,"Assistant Professor, School of Natural Resources and Environment, University of Michigan"
Helene Ollivier,2012,"Research Fellow, Department of Economics, University of Paris 1 Pantheon-Sorbonne and CNRS"
Jenya Kahn-Lang,2023,"Post-Doctoral Scholar (2023-24), Stanford Environmental and Energy Policy Analysis Center, Stanford University"
Katrina Mullan,2012,"Assistant Professor, Department of Economics, University of Montana"
Meredith Fowlie,2006,"Assistant Professor, Ford School of Public Policy/Economics, University of Michigan"
Obie Porteous,2016,"Assistant Professor, Department of Economics, Middlebury College"
Xiangyi  Meng,2007,"Assistant Professor, School of Public Finance and Public Policy, Central University of Finance and Economics, Beijing, China"
Becky Cardinali,2025,"Data Scientist, Pinterest"
DanielAgness,2024,"Assistant Professor, Economics, University of Maryland"
Pierre Biscaye,2024,"Chaire Professeur Junior, CERDI, Université Clermont-Auvergne"
Jesse Buchsbaum,2024,"Fellow, Resources for The Future"
Michelle Chen,2024,"Economist, DIME, World Bank"
Daniel Kannell,2024,"Economist, Government Accountability Office"
Subrata Kumar Ritadhi,2024,"Assistant Professor, Economics, Occidental College"
Leila Safavi,2024,"Post Doctoral Scholar (2024-25), Institute for Policy Integrity at NYU Law, New York University"
Jedediah Silver,2024,"Assistant Professor, Department of Environmental Economics and Management, The Hebrew University of Jerusalem"
Livia Alfonsi,2023,"Assistant Professor, Harvard Business School, NOM, Harvard University"
Marshall Macdonald Blundell,2023,"Senior Consultant, Demand Side Analytics"
Joel Ferguson,2023,"Post Doctoral Researcher, Global Policy Lab, University of California, Berkeley"
Hal Gordon,2023,"Consultant, Demand Side Analysis"
Wei Guo,2023,"Post-Doctoral scholar (2023-2025), RFF-CMCC European Institute on Economics and the Environment"
Qingyang Huang,2023,"Assistant Professor, Institute of South-South Cooperation and Development, Peking University"
Jenya Kahn-Lang,2023,"Post-Doctoral Scholar (2023-24), Stanford Environmental and Energy Policy Analysis Center, Stanford University"
Jaecheol Lee,2023,"Post Doctoral Researcher, Climate Impact Lab, The University of Chicago"
James E. Sayre,2023,"Assistant Professor of CE/Specialist in Food Supply Chains, Department of Agricultural and Resource Economics, University of California, Davis"
Wenjun Wang,2023,"Machine Learning Scientist, Wayfair"
Eleanor Wiseman,2023,"Post-Doctoral Scholar (2023-2025), King Center and Center for Food Security and the Environment, Stanford University"
